Quote,Author,Tags,Processed_Text,Most_Important_Term,Term_Score
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",world created process thinking changed without changing thinking,thinking,0.6666666666666666
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",choice harry show truly far ability,ability,0.4472135954999579
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",two way live life one though nothing miracle though everything miracle,miracle,0.7713643675798117
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",person gentleman lady pleasure good novel must intolerably stupid,gentleman,0.35355339059327373
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",imperfection beauty madness genius better absolutely ridiculous absolutely boring,absolutely,0.6107715830794215
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",try become man success rather become man value,man,0.7559289460184544
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",better hated loved,hated,0.6060433187339399
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",failed ive found  way wont work,failed,0.4601578921271882
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,woman like tea bag never know strong hot water,bag,0.3664870124440271
"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",day without sunshine like know night,day,0.4742954325768623
